,patentCaseMetadata.applicationNumberText.value,patentCaseMetadata.applicationStatusCategory,patentCaseMetadata.applicationTypeCategory,patentCaseMetadata.businessEntityStatusCategory,patentCaseMetadata.firstInventorToFileIndicator,patentCaseMetadata.filingDate,patentCaseMetadata.applicationStatusDate,patentCaseMetadata.groupArtUnitNumber.value,patentCaseMetadata.inventionTitle.content
149,35513540,Docketed New Case - Ready for Examination,Design,SMALL,true,2022-01-10,2022-03-09,2900,['Collapsible basketbag in particular for storing baby nursery items']
150,17625494,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-07,2022-03-22,,['METASTABLE CRYSTAL MODIFICATION AND METHOD FOR PRODUCING THE SAME (I)']
151,17597676,Application Undergoing Preexam Processing,Utility,SMALL,Other,2022-01-18,2022-01-18,3715,['METHOD AND SYSTEM FOR TESTING COGNITION BY PROCESSING THE REACTION OF A SUBJECT TO STIMULI']
152,90014937,Determination - Reexamination Ordered,Re-Examination,UNDISCOUNTED,false,2022-01-07,2022-03-28,3991,['IMAGE TRANSFER ON A COLORED BASE']
153,17577594,Application Undergoing Preexam Processing,Re-Issue,UNDISCOUNTED,Other,2022-01-18,2022-01-18,2811,['ORGANIC LIGHT-EMITTING DIODE DISPLAY']
154,17625613,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-07,2022-03-23,,['Gearless Torque Motor Catching Structure']
155,17413852,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-18,2022-02-23,OPAP,['STRUCTURAL ARRANGEMENTS APPLIED TO A REMOTE MONITORING AND SECURITY SYSTEM']
156,35513578,Docketed New Case - Ready for Examination,Design,UNDISCOUNTED,true,2022-01-18,2022-03-07,2900,['Writing instrument']
157,17297571,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-18,2022-02-16,OPAP,['METHOD AND SENSOR FOR DETERMINING A VALUE INDICATING THE IMPEDANCE OF A SUSPENSION']
158,17597681,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-18,2022-03-21,OPAP,"['SANITIZATION UNIT, BEVERAGE PREPARATION MACHINE COMPRISING SUCH A SANITIZATION UNIT AND BEVERAGE PREPARATION METHOD IMPLEMENTING SUCH A BEVERAGE PREPARATION MACHINE']"
159,17628070,Sent to Classification contractor,Utility,SMALL,true,2022-01-18,2022-03-09,,['OPTOELECTRONIC DEVICE COMPRISING AN ACTIVE ORGANIC LAYER WITH IMPROVED PERFORMANCE AND METHOD FOR PRODUCING SAID DEVICE']
160,17431570,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-18,2022-02-14,OPAP,['OFF-CENTER CONTAINER MANUFACTURING METHOD AND TEMPERATURE ADJUSTMENT MOLD']
161,17625716,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-07,2022-03-23,,['DYNAMIC APPLICATION SELECTION BASED ON CONTEXTUAL DATA']
162,17625516,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-07,2022-03-23,,['MECHANICAL COUPLING OF TUBULARS']
163,17425837,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-07,2022-03-22,OPAP,"['POWDERY PAPER STRENGTHENING AGENT, METHOD FOR PRODUCING POWDERY PAPER STRENGTHENING AGENT, PAPER STRENGTHENING AGENT SOLUTION AND PAPER']"
164,17625135,Sent to Classification contractor,Utility,SMALL,true,2022-01-06,2022-03-22,,['UNDERWATER INFORMATION DISPLAY DEVICE']
165,16624907,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-19,2022-02-28,OPAP,['INFRARED DETECTOR HAVING VERTICAL SIDEWALL SENSITIVE LAYER AND MANUFACTURING METHOD THEREOF']
166,90014947,Reexam -- Request Ready for Ex Parte Action,Re-Examination,UNDISCOUNTED,true,2022-01-18,2022-03-29,3992,['MULTI-CONSTELLATION SATELLITE TERMINAL']
167,90014948,Determination - Reexamination Ordered,Re-Examination,UNDISCOUNTED,false,2022-01-18,2022-02-23,3993,['Plant Growing System Using External Data and Having Sensors Associated with Plants']
168,17628338,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-19,2022-03-18,,['METHODS AND SYSTEMS FOR IMPLANTING A JOINT IMPLANT']
169,17424444,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-19,2022-02-23,OPAP,['STERILIZATION DEVICE AND STERILIZATION CONTAINER USING SAME']
170,29823751,"Application Dispatched from Preexam, Not Yet Docketed",Re-Issue,SMALL,true,2022-01-19,2022-02-03,2914,['BRACELET']
171,90014946,Determination - Reexamination Ordered,Re-Examination,UNDISCOUNTED,true,2022-01-18,2022-02-22,3992,['MULTI-CONSTELLATION SATELLITE TERMINAL']
172,35513778,Docketed New Case - Ready for Examination,Design,UNDISCOUNTED,true,2022-01-06,2022-03-31,2900,['Wayfinding sign']
173,17597452,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-06,2022-03-25,,['OPTIMIZATION-BASED LOAD PLANNING SYSTEMS AND METHODS FOR LABORATORY ANALYZERS']
174,35513533,"Application Dispatched from Preexam, Not Yet Docketed",Design,UNDISCOUNTED,true,2022-01-19,2022-02-28,2913,['Rear combination lamp for vehicles']
175,17250412,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-19,2022-02-02,OPAP,"['DEVICE AND METHOD FOR MEASURING FLUORESCENCE SIGNAL IN MULTI-ILLUMINATION MODE, AND USE OF THE METHOD']"
176,35513529,"Application Dispatched from Preexam, Not Yet Docketed",Design,UNDISCOUNTED,true,2022-01-19,2022-03-02,2913,['Rear door panel for vehicles']
177,35513543,"Application Dispatched from Preexam, Not Yet Docketed",Design,UNDISCOUNTED,true,2022-01-19,2022-02-28,2913,['Front bumper cover for vehicles']
178,17578686,Application Undergoing Preexam Processing,Re-Issue,SMALL,Other,2022-01-19,2022-01-19,3633,['SMALL CELL FIBERGLASS COMMUNICATIONS UTILITY POLE']
179,17413657,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-19,2022-02-25,OPAP,['BUOYANCY MODIFICATION MODULE FOR A MODULAR UNDERWATER VEHICLE']
180,17597679,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-18,2022-03-16,OPAP,['ANTIREFLECTIVE STICKER FOR LIDAR WINDOW']
181,17627887,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-18,2022-03-22,,['FLEXIBLE PRINTED CIRCUIT BOARD AND IMAGE STABILIZATION MODULE']
182,35513545,"Application Dispatched from Preexam, Not Yet Docketed",Design,UNDISCOUNTED,true,2022-01-19,2022-02-28,2913,['Front bumper cover for vehicles']
183,17627981,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-18,2022-03-22,,['Poly(Aliphatic Ester)-Polycarbonate Filled Compositions']
184,17597694,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-18,2022-03-28,OPAP,['REDUCED-FRICTION DRIVE DEVICE']
185,35513575,Docketed New Case - Ready for Examination,Design,SMALL,true,2022-01-19,2022-03-09,2900,['Knife table']
186,17285579,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-18,2022-02-18,OPAP,"['SECONDARY BATTERY MANAGEMENT SYSTEM, SECONDARY BATTERY MANAGEMENT METHOD AND SECONDARY BATTERY MANAGEMENT PROGRAM FOR SAID SECONDARY BATTERY MANAGEMENT SYSTEM, AND SECONDARY BATTERY SYSTEM']"
187,17597680,Application Undergoing Preexam Processing,Utility,UNDISCOUNTED,Other,2022-01-18,2022-01-18,1633,['IMPROVED HOMOLOGY DEPENDENT REPAIR GENOME EDITING']
188,17578331,Docketed New Case - Ready for Examination,Re-Issue,UNDISCOUNTED,true,2022-01-18,2022-01-20,3992,['CIRCUITS FOR A HYBRID SWITCHED CAPACITOR CONVERTER']
189,17627786,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-17,2022-03-22,,['SYSTEM AND METHOD FOR REPAIRING HIGH-TEMPERATURE GAS TURBINE COMPONENTS']
190,17440061,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-17,2022-03-11,OPAP,['METHOD FOR COATING INSOLUBLE SOLIDS']
191,17425677,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-17,2022-02-07,OPAP,['Robot-Assisted Grinding Device having an Integrated Maintenance Unit']
192,17415464,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-19,2022-02-24,OPAP,['Acrylic Emulsion Pressure-Sensitive Adhesive Composition']
193,35513639,Docketed New Case - Ready for Examination,Design,SMALL,true,2022-01-17,2022-03-09,2900,['Display panel with graphical user interface']
194,17310010,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-20,2022-03-09,OPAP,['VACUUM MULTI-SENSING UNIT']
195,17579990,Docketed New Case - Ready for Examination,Re-Issue,SMALL,true,2022-01-20,2022-01-24,3991,"['(5,6-DIHYDRO)PYRIMIDO[4,5-E]INDOLIZINES']"
196,35513546,"Application Dispatched from Preexam, Not Yet Docketed",Design,MICRO,true,2022-01-20,2022-03-08,2913,['Transfer robot']
197,17312254,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-20,2022-02-23,OPAP,['ANALYSIS SYSTEM AND METHOD FOR EVALUATING AND PREDICTING A QUALITY OF A COATING']
198,17603784,Sent to Classification contractor,Utility,SMALL,true,2022-01-20,2022-03-15,,['REFRIGERATOR']
199,17580092,Docketed New Case - Ready for Examination,Re-Issue,UNDISCOUNTED,true,2022-01-20,2022-01-24,3991,['STABILIZED VIRAL CLASS I FUSION PROTEINS']
200,17627779,Application Undergoing Preexam Processing,Utility,UNDISCOUNTED,Other,2022-01-17,2022-01-17,,['SYSTEM AND METHOD FOR REPAIRING HIGH-TEMPERATURE GAS TURBINE BLADES']
201,17285397,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-14,2022-02-23,OPAP,['NUTRITION COMPOSITION']
202,17576925,Docketed New Case - Ready for Examination,Re-Issue,SMALL,false,2022-01-15,2022-02-04,3993,['HYDRAULIC LEVERAGED OVERHEAD DOOR ASSEMBLY']
203,90020143,Determination - Reexamination Ordered,Re-Examination,UNDISCOUNTED,false,2022-01-14,2022-03-03,3992,['Method and Apparatus for Providing Electronic Purse']
204,35513636,"Application Dispatched from Preexam, Not Yet Docketed",Design,MICRO,true,2022-01-20,2022-03-08,2913,['Hairband']
205,17420473,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-20,2022-03-31,OPAP,['Various Ecological Compression Flushable Portable Commodespotable Commodes']
206,17628871,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-20,2022-03-01,OPAP,['Automatic Generation of All-In-Focus Images with a Mobile Camera']
207,17581309,Docketed New Case - Ready for Examination,Re-Issue,SMALL,true,2022-01-21,2022-02-02,3993,['Hooded Neck Pillow with Adjustable Face Covering']
208,90014942,Determination - Reexamination Ordered,Re-Examination,SMALL,false,2022-01-20,2022-02-09,3992,['MAGNETIC EARPHONES HOLDER']
209,90014943,Determination - Reexamination Ordered,Re-Examination,SMALL,false,2022-01-20,2022-02-09,3992,['MAGNETIC EARPHONES HOLDER INCLUDING RECEIVING EXTERNAL AMBIENT AUDIO AND TRANSMITTING TO THE EARPHONES']
210,90020144,Determination - Reexamination Ordered,Re-Examination,UNDISCOUNTED,false,2022-01-14,2022-03-03,3992,['METHOD AND APPARATUS FOR FUNDING AN ELECTRONIC PURSE']
211,17274354,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-12,2022-02-02,OPAP,"['METHOD AND SYSTEM FOR DETERMINING A FLOW SPEED OF A FLUID FLOWING THROUGH AN IMPLANTED, VASCULAR ASSISTANCE SYSTEM']"
212,17312874,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-14,2022-02-25,OPAP,['INTRODUCTION OF ACTIVE SUBSTANCES AND/OR DYE INTO PLANT TISSUE']
213,35513616,"Application Dispatched from Preexam, Not Yet Docketed",Design,UNDISCOUNTED,true,2022-01-14,2022-02-15,2913,['Head lamp for vehicles']
214,17597646,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-14,2022-03-25,OPAP,['ACTIVE AGENT FOR USE IN HAIR GROWTH REGULATION']
215,17597745,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-21,2022-02-23,OPAP,['DUPLEX STAINLESS STEEL MATERIAL']
216,17627160,Sent to Classification contractor,Utility,SMALL,true,2022-01-14,2022-03-22,,['CMOS-COMPATIBLE PROTONIC RESISTIVE DEVICES']
217,35513577,"Application Dispatched from Preexam, Not Yet Docketed",Design,UNDISCOUNTED,true,2022-01-14,2022-02-15,2913,['Rear combination lamp for vehicles']
218,90014941,Reexam -- Request Ready for Ex Parte Action,Re-Examination,UNDISCOUNTED,true,2022-01-13,2022-03-05,3993,['TWIST DRILL']
219,17581586,Docketed New Case - Ready for Examination,Re-Issue,SMALL,false,2022-01-21,2022-01-28,3991,"['PRODRUG SALTS OF 2, 4-PYRIMIDINEDIAMINE COMPOUNDS AND THEIR USES']"
220,17627117,Sent to Classification contractor,Utility,SMALL,true,2022-01-13,2022-03-25,,['DEEP LOW-PERMEABILITY HIGH GASSY SEAM DRILLING-SLITTING-SEALING-FRACTURING DRILLING DEVICE AND METHOD']
221,17426420,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-13,2022-02-22,OPAP,"['BIOMOLECULE RECOVERING DEVICE AND METHOD, AND BIOMOLECULE ANALYZING DEVICE AND METHOD']"
222,35513817,"Application Dispatched from Preexam, Not Yet Docketed",Design,UNDISCOUNTED,true,2022-01-13,2022-03-29,2913,['Bottle']
223,17267418,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-21,2022-02-23,OPAP,['AGENTS FOR TREATMENT OF ALCOHOL USE DISORDER']
224,17297991,Docketed New Case - Ready for Examination,Utility,MICRO,true,2022-01-24,2022-03-02,OPAP,['SPEAKER COMBINED WITH LIGHTING APPARATUS']
225,17605575,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-24,2022-02-24,OPAP,['CLIENT STEERING METHOD IN MULTIPLE ACCESS POINT NETWORK AND DEVICE THEREFOR']
226,17629628,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-24,2022-03-22,,['METHOD OF SECURING A CERAMIC MATRIX COMPOSITE (CMC) COMPONENT TO A METALLIC SUBSTRUCTURE USING CMC STRAPS']
227,17583066,Docketed New Case - Ready for Examination,Re-Issue,UNDISCOUNTED,false,2022-01-24,2022-02-02,3992,['System and Method for Rules-Based Control Of Custody Of Electronic Signature Transactions']
228,17418569,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-25,2022-02-23,OPAP,['Method for Automatically Switching Bluetooth Audio Coding Scheme and Electronic Device']
229,17629574,Application Undergoing Preexam Processing,Utility,UNDISCOUNTED,Other,2022-01-24,2022-01-24,1632,['IMMUNOME PROFILING FOR ENGINEERING WHITE BLOOD CELLS']
230,90014925,Reexam -- Request Ready for Ex Parte Action,Re-Examination,SMALL,true,2022-01-24,2022-03-16,3993,['Hair Clip with Elastic Fastener']
231,16325703,Application Undergoing Preexam Processing,Utility,UNDISCOUNTED,Other,2022-01-24,2019-02-14,,['Pneumatic Tire']
232,17597615,Application Undergoing Preexam Processing,Utility,SMALL,Other,2022-01-13,2022-01-13,,['INTRAORAL COORDINATE SYSTEM OF DENTITION FOR THE DESIGN AND PLACEMENT OF DENTAL IMPLANTS']
233,17626712,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-12,2022-03-24,,['SYSTEMS AND METHODS FOR COLLECTING AND SENDING REAL-TIME DATA']
234,17416616,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-24,2022-03-02,OPAP,"['NEURON, NEUROMORPHIC SYSTEM INCLUDING THE SAME']"
235,17423231,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-12,2022-02-25,OPAP,['LAMINATE FOR PAPER CONTAINER AND PAPER CONTAINER']
236,17630078,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-25,2022-03-28,,['OPTICAL ELEMENT HAVING A MOVABLE REFLECTIVE COVER COMPRISING A 2-DIMENSIONAL MATERIAL']
237,17584155,Docketed New Case - Ready for Examination,Re-Issue,UNDISCOUNTED,true,2022-01-25,2022-01-28,3991,"['[1,2,4]TRIAZOLO[1,5-A]PYRIDINYL SUBSTITUTED INDOLE COMPOUNDS']"
238,17277141,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-10,2022-02-23,OPAP,['LINEAR MOTOR AND LINEAR COMPRESSOR']
239,17626348,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-11,2022-02-23,OPAP,['TURBOMACHINE MODULE FOR A PROPELLER HAVING VARIABLE-PITCH BLADES AND TURBOMACHINE COMPRISING SAME']
240,35513867,Application Undergoing Preexam Processing,Design,UNDISCOUNTED,Other,2022-01-11,2022-03-31,,['Smartwatch']
241,17257628,Application Undergoing Preexam Processing,Utility,UNDISCOUNTED,Other,2022-01-26,2021-01-04,,['CONNECTING FITTING CONSTRUCTION MATERIALS AND CONNECTING METHOD THEREFOR']
242,17584147,Docketed New Case - Ready for Examination,Re-Issue,UNDISCOUNTED,true,2022-01-25,2022-02-04,3991,"['[1,2,4]TRIAZOLO[1,5-A]PYRIDINYL SUBSTITUTED INDOLE COMPOUNDS']"
243,17439520,Non Final Action Mailed,Utility,UNDISCOUNTED,true,2022-01-25,2022-03-31,2497,['METHOD FOR TRANSMITTING DATA PACKETS']
244,17593043,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-25,2022-03-02,OPAP,['MINIMALLY-INVASIVE SURGERY EQUIPMENT']
245,17605483,Sent to Classification contractor,Utility,SMALL,true,2022-01-25,2022-03-17,,['COMPOSITION COMPRISING ACTINIDIA POLYGAMA EXTRACT FOR ALLEVIATING SKIN DAMAGE OR MOISTURIZING SKIN']
246,17584044,Docketed New Case - Ready for Examination,Re-Issue,SMALL,false,2022-01-25,2022-01-28,3992,['METHOD FOR MATCHING PEOPLE']
247,16758645,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-24,2022-02-17,OPAP,['SYSTEMS AND METHODS FOR LOW-LATENCY PROVISION OF CONTENT']
248,17584139,Docketed New Case - Ready for Examination,Re-Issue,UNDISCOUNTED,true,2022-01-25,2022-01-28,3991,"['[1,2,4]TRIAZOLO[1,5-A]PYRIDINYL SUBSTITUTED INDOLE COMPOUNDS']"
249,35513873,Application Undergoing Preexam Processing,Design,MICRO,Other,2022-01-26,2022-03-31,,['Baseball glove']
250,35513657,Docketed New Case - Ready for Examination,Design,UNDISCOUNTED,true,2022-01-25,2022-03-31,2900,['Loudspeaker grille for motor vehicles']
251,35513869,Application Undergoing Preexam Processing,Design,UNDISCOUNTED,Other,2022-01-25,2022-03-31,,['Bootshaped solar light']
252,35513637,Docketed New Case - Ready for Examination,Design,UNDISCOUNTED,true,2022-01-26,2022-03-21,2900,['Massage appliance']
253,17430557,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-24,2022-03-28,OPAP,['ANTIPRURITIC AGENT USING PAC1 RECEPTOR ANTAGONIST']
254,17431390,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-24,2022-03-30,OPAP,"['CARBON MATERIAL MANUFACTURING METHOD, ELECTRODE MANUFACTURING METHOD, ELECTRODE, ELECTROCHEMICAL DEVICE, AND CARBON MATERIAL']"
255,17415588,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-22,2022-03-04,OPAP,"['STORAGE DEVICE OPERATION METHOD, AND STORAGE DEVICE']"
256,17440642,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-26,2022-03-14,OPAP,['FLAME-RETARDANT COMPOSITION AND FLAME-RETARDANT SYNTHETIC RESIN COMPOSITION']
257,17601649,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-24,2022-03-10,OPAP,"['HEAT INSULATING MATERIAL COMPOSITION, HEAT INSULATING MATERIAL, AND METHOD FOR MANUFACTURING SAME']"
258,17418614,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-21,2022-02-07,OPAP,['OIL-BASED COSMETIC PRODUCT HAVING DECORATIVE LAYER']
259,17585532,Docketed New Case - Ready for Examination,Re-Issue,SMALL,false,2022-01-26,2022-02-04,3993,['INTERNET CANINE COMMUNICATION DEVICE AND METHOD']
260,17413455,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-27,2022-02-23,OPAP,['TOUCH PANEL AND TOUCH DETECTION METHOD']
261,17597877,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-27,2022-03-18,,"['PRINT HEAD FOR AN ADDITIVE MANUFACTURING SYSTEM, AND ADDITIVE MANUFACTURING SYSTEM']"
262,17629034,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-21,2022-03-08,OPAP,['BRAIN ORGANOID MANUFACTURING METHOD']
263,17289687,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-27,2022-03-04,OPAP,"['ANTENNA PANEL DETERMINATION METHOD, USER TERMINAL AND COMPUTER READABLE STORAGE MEDIUM']"
264,17418556,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-27,2022-02-28,OPAP,['CHLOROPRENE POLYMER LATEX AND METHOD FOR PRODUCING SAME']
265,35513628,Docketed New Case - Ready for Examination,Design,UNDISCOUNTED,true,2022-01-27,2022-03-09,2900,['Watch case']
266,17586023,Docketed New Case - Ready for Examination,Re-Issue,UNDISCOUNTED,true,2022-01-27,2022-02-04,3991,['VERTICAL MEMORY DEVICES AND METHODS OF MANUFACTURING THE SAME']
267,17630769,Sent to Classification contractor,Utility,SMALL,true,2022-01-27,2022-03-16,,['SUBSTRATE STORAGE CONTAINER AND FILTER UNIT']
268,17415170,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-21,2022-03-04,,['Microcapsules']
269,17597884,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-27,2022-03-11,OPAP,['METHODS AND DEVICES FOR RESOURCE SHARING USING SMART CONTRACTS']
270,17418971,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-27,2022-03-17,OPAP,['FLUID SYSTEM FOR PRODUCING EXTRACELLULAR VESICLES COMPRISING A THERAPEUTIC OR IMAGING AGENT AND METHOD THEREOF']
271,90014950,Determination - Reexamination Ordered,Re-Examination,UNDISCOUNTED,false,2022-01-26,2022-02-24,3993,['Proportional Control Valve Assembly for Exhaust Gas Recirculation System']
272,17580564,Docketed New Case - Ready for Examination,Re-Issue,UNDISCOUNTED,true,2022-01-20,2022-01-24,3992,['DEVICE AND METHOD FOR RELATIVE POSITIONING OF MULTI-APERTURE OPTICS COMPRISING SEVERAL OPTICAL CHANNELS IN RELATION TO AN IMAGE SENSOR']
273,17602986,Sent to Classification contractor,Utility,SMALL,true,2022-01-21,2022-03-15,,"['DEVICE FOR CONNECTING A FLEXIBLE TUBE OR PIPE, PREFERABLY A CAPILLARY']"
274,35513630,"Application Dispatched from Preexam, Not Yet Docketed",Design,UNDISCOUNTED,true,2022-01-21,2022-02-15,2913,['Clasp for leather goods']
275,35513551,Docketed New Case - Ready for Examination,Design,UNDISCOUNTED,true,2022-01-21,2022-03-09,2900,['Shoulder bag']
276,17298977,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-20,2022-03-02,OPAP,['METHOD AND SYSTEM FOR CONTROLLING A MOTOR VEHICLE']
277,17580255,Docketed New Case - Ready for Examination,Re-Issue,UNDISCOUNTED,false,2022-01-20,2022-01-28,3992,['LUMINESCENT DISPLAY DEVICE']
278,17579820,Application Undergoing Preexam Processing,Re-Issue,UNDISCOUNTED,Other,2022-01-20,2022-01-20,2827,['SEMICONDUCTOR MEMORY CARD']
279,35513573,Docketed New Case - Ready for Examination,Design,UNDISCOUNTED,true,2022-01-20,2022-03-09,2900,['Biscuit']
280,16627798,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-28,2022-02-15,OPAP,['Method for designing a fabric with suffices of different water-permeable based on fabric capillary water-permeable capacity']
281,17292690,Docketed New Case - Ready for Examination,Utility,MICRO,true,2022-01-28,2022-03-04,OPAP,"['USE OF 3-O-SULFAMOYLOXY-7Beta-METHYL-D-HOMO-6-OXAESTRA-1,3,5(10),8(9)-TETRAEN-17A-ONE TO TREAT BREAST CANCER']"
282,17043599,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-20,2022-01-28,2691,"['DISPLAY PANEL, METHOD OF MANUFACTURING THE SAME, AND DISPLAY DEVICE']"
283,17597904,Application Undergoing Preexam Processing,Utility,SMALL,Other,2022-01-28,2022-01-28,,['ANALYSIS METHOD FOR DETERMINING HAPLOTYPES OF FILIAL GENERATION OBJECTS AND DEVICE']
284,17431332,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-19,2022-02-28,OPAP,['Corrosion Prevention Device']
285,17597886,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-28,2022-03-18,OPAP,['Systems and methods for non-stop shipment across a border']
286,17630933,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-28,2022-03-22,,['VEHICLE CONTROL SYSTEM']
287,17630928,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-28,2022-03-23,,"['INFORMATION PROCESSING APPARATUS, MOVING BODY, INFORMATION PROCESSING SYSTEM, INFORMATION PROCESSING METHOD, AND PROGRAM']"
288,35513621,"Application Dispatched from Preexam, Not Yet Docketed",Design,UNDISCOUNTED,true,2022-01-19,2022-03-04,2913,['Front door panel for vehicles']
289,17597888,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-28,2022-03-24,OPAP,['Process and System to Make Olefin Epoxides']
290,17630936,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-28,2022-03-31,,['VEHICLE CONTROL SYSTEM']
291,17631095,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-28,2022-03-28,OPAP,"['DATA INTERPRETATION APPARATUS, METHOD, AND PROGRAM, DATA INTEGRATION APPARATUS, METHOD, AND PROGRAM, AND DIGITAL CITY ESTABLISHING SYSTEM']"
292,17630938,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-28,2022-03-23,,['WOUND CLEANING PRODUCT']
293,35513614,Docketed New Case - Ready for Examination,Design,UNDISCOUNTED,true,2022-01-19,2022-03-30,2900,['Motor car']
294,17630996,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-28,2022-03-21,OPAP,['Ceiling-Mounted Type Lighting Device']
295,17597891,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-28,2022-03-25,OPAP,['DIHYDROPYRIMIDINE DERIVATIVES AND USES THEREOF IN THE TREATMENT OF HBV INFECTION OR OF HBV-INDUCED DISEASES']
296,17631113,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-28,2022-03-30,,['A BRASSIERE AND METHOD OF MANUFACTURING THE BRASSIERE']
297,17631110,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-28,2022-03-23,,['HEATING COOKING APPARATUS']
298,17631112,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-28,2022-03-30,,['TRANSMISSION AND RECEPTION OF DOWNLINK CONTROL INFORMATION']
299,17631159,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-28,2022-03-22,OPAP,['DISPLAY DEVICE']
